工項碼,名稱,規格,單位,群組,分類,敷設,牌價(待填),工率_普通
PL-RT-186,ABS管,"ABS P 1 1/2""*2.5m/m",M,管材,管線材料,明管,,0.023
PL-RT-187,ABS管,"ABS P 1 1/2""*3.7m/m",M,管材,管線材料,明管,,0.028
PL-RT-184,ABS管,"ABS P 1 1/4""*2.2m/m",M,管材,管線材料,明管,,0.015
PL-RT-185,ABS管,"ABS P 1 1/4""*3.0m/m",M,管材,管線材料,明管,,0.02
PL-RT-182,ABS管,"ABS P 1""*2.0m/m",M,管材,管線材料,明管,,0.012
PL-RT-183,ABS管,"ABS P 1""*2.5m/m",M,管材,管線材料,明管,,0.013
PL-RT-180,ABS管,"ABS P 1/2""*2.0m/m",M,管材,管線材料,明管,,0.009
PL-RT-207,ABS管,"ABS P 10""* 12m/m",M,管材,管線材料,明管,,0.22
PL-RT-208,ABS管,"ABS P 10""* 18m/m",M,管材,管線材料,明管,,0.285
PL-RT-209,ABS管,"ABS P 12""* 15m/m",M,管材,管線材料,明管,,0.295
PL-RT-210,ABS管,"ABS P 12""*21.5m/m",M,管材,管線材料,明管,,0.3
PL-RT-190,ABS管,"ABS P 2 1/2""*2.5m/m",M,管材,管線材料,明管,,0.045
PL-RT-191,ABS管,"ABS P 2 1/2""*3.8m/m",M,管材,管線材料,明管,,0.048
PL-RT-192,ABS管,"ABS P 2 1/2""*5.7m/m",M,管材,管線材料,明管,,0.052
PL-RT-188,ABS管,"ABS P 2""*3.2m/m",M,管材,管線材料,明管,,0.035
PL-RT-189,ABS管,"ABS P 2""*4.8m/m",M,管材,管線材料,明管,,0.04
PL-RT-193,ABS管,"ABS P 3""*3.0m/m",M,管材,管線材料,明管,,0.051
PL-RT-194,ABS管,"ABS P 3""*4.5m/m",M,管材,管線材料,明管,,0.058
PL-RT-195,ABS管,"ABS P 3""*6.8m/m",M,管材,管線材料,明管,,0.068
PL-RT-181,ABS管,"ABS P 3/4""*2.0m/m",M,管材,管線材料,明管,,0.01
PL-RT-196,ABS管,"ABS P 4""*3.5m/m",M,管材,管線材料,明管,,0.062
PL-RT-197,ABS管,"ABS P 4""*5.5m/m",M,管材,管線材料,明管,,0.068
PL-RT-198,ABS管,"ABS P 4""*8.2m/m",M,管材,管線材料,明管,,0.076
PL-RT-199,ABS管,"ABS P 5""*4.0m/m",M,管材,管線材料,明管,,0.08
PL-RT-200,ABS管,"ABS P 5""*6.2m/m",M,管材,管線材料,明管,,0.088
PL-RT-201,ABS管,"ABS P 5""*9.3m/m",M,管材,管線材料,明管,,0.094
PL-RT-204,ABS管,"ABS P 6""* 12m/m",M,管材,管線材料,明管,,0.126
PL-RT-202,ABS管,"ABS P 6""*5.0m/m",M,管材,管線材料,明管,,0.096
PL-RT-203,ABS管,"ABS P 6""*8.0m/m",M,管材,管線材料,明管,,0.112
PL-RT-205,ABS管,"ABS P 8""* 10m/m",M,管材,管線材料,明管,,0.186
PL-RT-206,ABS管,"ABS P 8""* 15m/m",M,管材,管線材料,明管,,0.21
PL-RT-219,CD合成樹脂管,"CD管 1 1/2""",M,管材,管線材料,明管,,0.024
PL-RT-218,CD合成樹脂管,"CD管 1 1/4""",M,管材,管線材料,明管,,0.017
PL-RT-217,CD合成樹脂管,"CD管 1""",M,管材,管線材料,明管,,0.015
PL-RT-215,CD合成樹脂管,"CD管 1/2""",M,管材,管線材料,明管,,0.007
PL-RT-221,CD合成樹脂管,"CD管 2 1/2""",M,管材,管線材料,明管,,0.032
PL-RT-220,CD合成樹脂管,"CD管 2""",M,管材,管線材料,明管,,0.027
PL-RT-222,CD合成樹脂管,"CD管 3""",M,管材,管線材料,明管,,0.04
PL-RT-216,CD合成樹脂管,"CD管 3/4""",M,管材,管線材料,明管,,0.01
PL-RT-160,HDPE管,"HDPE P 1 1/2""",M,管材,管線材料,明管,,0.102
PL-RT-159,HDPE管,"HDPE P 1 1/4""",M,管材,管線材料,明管,,0.066
PL-RT-168,HDPE管,"HDPE P 10""",M,管材,管線材料,明管,,0.435
PL-RT-169,HDPE管,"HDPE P 12""",M,管材,管線材料,明管,,0.485
PL-RT-162,HDPE管,"HDPE P 2 1/2""",M,管材,管線材料,明管,,0.132
PL-RT-161,HDPE管,"HDPE P 2""",M,管材,管線材料,明管,,0.11
PL-RT-163,HDPE管,"HDPE P 3""",M,管材,管線材料,明管,,0.158
PL-RT-164,HDPE管,"HDPE P 4""",M,管材,管線材料,明管,,0.205
PL-RT-165,HDPE管,"HDPE P 5""",M,管材,管線材料,明管,,0.275
PL-RT-166,HDPE管,"HDPE P 6""",M,管材,管線材料,明管,,0.325
PL-RT-167,HDPE管,"HDPE P 8""",M,管材,管線材料,明管,,0.395
PL-RT-172,PB管,"1""",M,管材,管線材料,明管,,0.024
PL-RT-170,PB管,"1/2""",M,管材,管線材料,明管,,0.015
PL-RT-171,PB管,"3/4""",M,管材,管線材料,明管,,0.018
PL-RT-173,REHAU乙烯管,REHAU 16φ* 2.2 m/m,M,管材,管線材料,明管,,0.024
PL-RT-174,REHAU乙烯管,REHAU 20φ* 2.8 m/m,M,管材,管線材料,明管,,0.033
PL-RT-175,REHAU乙烯管,REHAU 25φ* 3.5 m/m,M,管材,管線材料,明管,,0.042
PL-RT-176,REHAU乙烯管,REHAU 32φ* 4.4 m/m,M,管材,管線材料,明管,,0.054
PL-RT-177,REHAU乙烯管,REHAU 40φ* 5.5 m/m,M,管材,管線材料,明管,,0.073
PL-RT-178,REHAU乙烯管,REHAU 50φ* 6.9 m/m,M,管材,管線材料,明管,,0.085
PL-RT-179,REHAU乙烯管,REHAU 63φ* 8.7 m/m,M,管材,管線材料,明管,,0.12
PL-RT-144,RSG鍍鋅厚鋼電導管,"1 1/2"" * 2.5 m/m",M,管材,管線材料,明管,,0.094
PL-RT-143,RSG鍍鋅厚鋼電導管,"1 1/4"" * 2.5 m/m",M,管材,管線材料,明管,,0.069
PL-RT-142,RSG鍍鋅厚鋼電導管,"1"" * 2.5 m/m",M,管材,管線材料,明管,,0.049
PL-RT-140,RSG鍍鋅厚鋼電導管,"1/2"" * 2.3 m/m",M,管材,管線材料,明管,,0.035
PL-RT-146,RSG鍍鋅厚鋼電導管,"2 1/2"" * 2.8 m/m",M,管材,管線材料,明管,,0.135
PL-RT-145,RSG鍍鋅厚鋼電導管,"2"" * 2.8 m/m",M,管材,管線材料,明管,,0.121
PL-RT-147,RSG鍍鋅厚鋼電導管,"3"" * 2.8 m/m",M,管材,管線材料,明管,,0.146
PL-RT-141,RSG鍍鋅厚鋼電導管,"3/4"" * 2.3 m/m",M,管材,管線材料,明管,,0.044
PL-RT-148,RSG鍍鋅厚鋼電導管,"4"" * 3.5 m/m",M,管材,管線材料,明管,,0.17
PL-RT-103,不銹鋼管(厚),"不銹鋼管 1 1/2"" * 3.5 m/m",M,管材,管線材料,明管,,0.083
PL-RT-102,不銹鋼管(厚),"不銹鋼管 1 1/4"" * 3.5 m/m",M,管材,管線材料,明管,,0.074
PL-RT-101,不銹鋼管(厚),"不銹鋼管 1"" * 3.0 m/m",M,管材,管線材料,明管,,0.063
PL-RT-099,不銹鋼管(厚),"不銹鋼管 1/2"" * 2.5 m/m",M,管材,管線材料,明管,,0.04
PL-RT-105,不銹鋼管(厚),"不銹鋼管 2 1/2"" * 4.0m/m",M,管材,管線材料,明管,,0.125
PL-RT-104,不銹鋼管(厚),"不銹鋼管 2"" * 3.5 m/m",M,管材,管線材料,明管,,0.104
PL-RT-107,不銹鋼管(厚),"不銹鋼管 3 1/2"" * 4.0 m/m",M,管材,管線材料,明管,,0.175
PL-RT-106,不銹鋼管(厚),"不銹鋼管 3"" * 4.0 m/m",M,管材,管線材料,明管,,0.152
PL-RT-100,不銹鋼管(厚),"不銹鋼管 3/4"" * 2.5 m/m",M,管材,管線材料,明管,,0.054
PL-RT-108,不銹鋼管(厚),"不銹鋼管 4"" * 4.0 m/m",M,管材,管線材料,明管,,0.198
PL-RT-096,不銹鋼管(薄),"1 1/2"" * 1.2 m/m 壓著式",M,管材,管線材料,明管,,0.067
PL-RT-095,不銹鋼管(薄),"1 1/4"" * 1.2 m/m 壓著式",M,管材,管線材料,明管,,0.057
PL-RT-094,不銹鋼管(薄),"1"" * 1.0 m/m 壓著式",M,管材,管線材料,明管,,0.044
PL-RT-092,不銹鋼管(薄),"1/2"" * 0.8 m/m 壓著式",M,管材,管線材料,明管,,0.025
PL-RT-098,不銹鋼管(薄),"2 1/2"" * 1.5 m/m 壓著式",M,管材,管線材料,明管,,0.116
PL-RT-097,不銹鋼管(薄),"2"" * 1.2 m/m 壓著式",M,管材,管線材料,明管,,0.089
PL-RT-093,不銹鋼管(薄),"3/4"" * 1.0 m/m 壓著式",M,管材,管線材料,明管,,0.033
PL-RT-239,大管徑,１２”,M,管材,管線材料,明管,,0.3485
PL-RT-240,大管徑,１４”,M,管材,管線材料,明管,,0.374
PL-RT-241,大管徑,１６”,M,管材,管線材料,明管,,0.4675
PL-RT-242,大管徑,２０”,M,管材,管線材料,明管,,0.5737
PL-RT-243,大管徑,２４”,M,管材,管線材料,明管,,0.7055
PL-RT-244,大管徑,２８”,M,管材,管線材料,明管,,0.8372
PL-RT-245,大管徑,３２”,M,管材,管線材料,明管,,0.9732
PL-RT-246,大管徑,３６”,M,管材,管線材料,明管,,1.1092
PL-RT-247,大管徑,４０”,M,管材,管線材料,明管,,1.2708
PL-RT-248,大管徑,４４”,M,管材,管線材料,明管,,1.4875
PL-RT-249,大管徑,４８”,M,管材,管線材料,明管,,1.6703
PL-RT-250,大管徑,５４”,M,管材,管線材料,明管,,1.8657
PL-RT-251,大管徑,６０”,M,管材,管線材料,明管,,2.0697
PL-RT-032,排水管,"PVC P 1 1/2""* 2.0 m/m",M,管材,管線材料,明管,,0.027
PL-RT-033,排水管,"PVC P 1 1/2""* 3.5 m/m",M,管材,管線材料,明管,,0.029
PL-RT-030,排水管,"PVC P 1 1/4""* 2.0 m/m",M,管材,管線材料,明管,,0.023
PL-RT-031,排水管,"PVC P 1 1/4""* 3.5 m/m",M,管材,管線材料,明管,,0.025
PL-RT-028,排水管,"PVC P 1""* 2.0 m/m",M,管材,管線材料,明管,,0.018
PL-RT-029,排水管,"PVC P 1""* 3.0 m/m",M,管材,管線材料,明管,,0.019
PL-RT-026,排水管,"PVC P 1/2""* 3.0 m/m",M,管材,管線材料,明管,,0.012
PL-RT-053,排水管,"PVC P 10""* 8.5 m/m",M,管材,管線材料,明管,,0.23
PL-RT-054,排水管,"PVC P 12""* 8.0 m/m",M,管材,管線材料,明管,,0.257
PL-RT-055,排水管,"PVC P 12""*10.0 m/m",M,管材,管線材料,明管,,0.271
PL-RT-056,排水管,"PVC P 12""*13.0 m/m",M,管材,管線材料,明管,,0.31
PL-RT-057,排水管,"PVC P 14""*11.0 m/m",M,管材,管線材料,明管,,0.357
PL-RT-058,排水管,"PVC P 14""*16.0 m/m",M,管材,管線材料,明管,,0.375
PL-RT-059,排水管,"PVC P 16""*12.0 m/m",M,管材,管線材料,明管,,0.45
PL-RT-060,排水管,"PVC P 18""*20.0 m/m",M,管材,管線材料,明管,,0.545
PL-RT-036,排水管,"PVC P 2 1/2""* 2.0 m/m",M,管材,管線材料,明管,,0.045
PL-RT-037,排水管,"PVC P 2 1/2""* 3.0 m/m",M,管材,管線材料,明管,,0.053
PL-RT-038,排水管,"PVC P 2 1/4""* 4.5 m/m",M,管材,管線材料,明管,,0.055
PL-RT-034,排水管,"PVC P 2""* 2.0 m/m",M,管材,管線材料,明管,,0.035
PL-RT-035,排水管,"PVC P 2""* 4.0 m/m",M,管材,管線材料,明管,,0.043
PL-RT-039,排水管,"PVC P 3""* 2.0 m/m",M,管材,管線材料,明管,,0.053
PL-RT-040,排水管,"PVC P 3""* 3.0 m/m",M,管材,管線材料,明管,,0.057
PL-RT-041,排水管,"PVC P 3""* 5.5 m/m",M,管材,管線材料,明管,,0.068
PL-RT-027,排水管,"PVC P 3/4""* 3.0 m/m",M,管材,管線材料,明管,,0.014
PL-RT-042,排水管,"PVC P 4""* 2.0 m/m",M,管材,管線材料,明管,,0.06
PL-RT-043,排水管,"PVC P 4""* 3.0 m/m",M,管材,管線材料,明管,,0.068
PL-RT-044,排水管,"PVC P 4""* 4.0 m/m",M,管材,管線材料,明管,,0.07
PL-RT-045,排水管,"PVC P 4""* 7.0 m/m",M,管材,管線材料,明管,,0.076
PL-RT-046,排水管,"PVC P 5""* 3.5 m/m",M,管材,管線材料,明管,,0.08
PL-RT-047,排水管,"PVC P 5""* 4.5 m/m",M,管材,管線材料,明管,,0.082
PL-RT-048,排水管,"PVC P 5""* 7.5 m/m",M,管材,管線材料,明管,,0.089
PL-RT-049,排水管,"PVC P 6""* 4.0 m/m",M,管材,管線材料,明管,,0.095
PL-RT-050,排水管,"PVC P 6""* 5.5 m/m",M,管材,管線材料,明管,,0.098
PL-RT-051,排水管,"PVC P 6""* 8.5 m/m",M,管材,管線材料,明管,,0.115
PL-RT-052,排水管,"PVC P 8""* 7.0 m/m",M,管材,管線材料,明管,,0.18
PL-RT-153,無縫鋼管,"無縫鋼管 SCH40 1 1/2""",M,管材,管線材料,明管,,0.083
PL-RT-152,無縫鋼管,"無縫鋼管 SCH40 1 1/4""",M,管材,管線材料,明管,,0.074
PL-RT-151,無縫鋼管,"無縫鋼管 SCH40 1""",M,管材,管線材料,明管,,0.063
PL-RT-149,無縫鋼管,"無縫鋼管 SCH40 1/2""",M,管材,管線材料,明管,,0.04
PL-RT-155,無縫鋼管,"無縫鋼管 SCH40 2 1/2""",M,管材,管線材料,明管,,0.125
PL-RT-154,無縫鋼管,"無縫鋼管 SCH40 2""",M,管材,管線材料,明管,,0.104
PL-RT-157,無縫鋼管,"無縫鋼管 SCH40 3 1/2""",M,管材,管線材料,明管,,0.175
PL-RT-156,無縫鋼管,"無縫鋼管 SCH40 3""",M,管材,管線材料,明管,,0.152
PL-RT-150,無縫鋼管,"無縫鋼管 SCH40 3/4""",M,管材,管線材料,明管,,0.054
PL-RT-158,無縫鋼管,"無縫鋼管 SCH40 4""",M,管材,管線材料,明管,,0.198
PL-RT-111,發泡披覆管,"不銹鋼發泡披覆管 1"" *1.0m/m",M,管材,管線材料,明管,,0.046
PL-RT-109,發泡披覆管,"不銹鋼發泡披覆管 1/2""*0.8m/m",M,管材,管線材料,明管,,0.026
PL-RT-114,發泡披覆管,"不銹鋼發泡披覆管 2"" *1.2m/m",M,管材,管線材料,明管,,0.093
PL-RT-110,發泡披覆管,"不銹鋼發泡披覆管 3/4""*1.0m/m",M,管材,管線材料,明管,,0.034
PL-RT-113,發泡披覆管,"不銹鋼發泡披覆管1 1/2""*1.2m/m",M,管材,管線材料,明管,,0.07
PL-RT-112,發泡披覆管,"不銹鋼發泡披覆管1 1/4""*1.2m/m",M,管材,管線材料,明管,,0.06
PL-RT-119,管路拆除,"1 1/2""",M,管材,管線材料,—,,0.0097
PL-RT-118,管路拆除,"1 1/4""",M,管材,管線材料,—,,0.0082
PL-RT-117,管路拆除,"1""",M,管材,管線材料,—,,0.0062
PL-RT-115,管路拆除,"1/2""",M,管材,管線材料,—,,0.0042
PL-RT-127,管路拆除,"10""",M,管材,管線材料,—,,0.0897
PL-RT-128,管路拆除,"12""",M,管材,管線材料,—,,0.1053
PL-RT-121,管路拆除,"2 1/2""",M,管材,管線材料,—,,0.0189
PL-RT-120,管路拆除,"2""",M,管材,管線材料,—,,0.0148
PL-RT-122,管路拆除,"3""",M,管材,管線材料,—,,0.0228
PL-RT-116,管路拆除,"3/4""",M,管材,管線材料,—,,0.0047
PL-RT-123,管路拆除,"4""",M,管材,管線材料,—,,0.0265
PL-RT-124,管路拆除,"5""",M,管材,管線材料,—,,0.0347
PL-RT-125,管路拆除,"6""",M,管材,管線材料,—,,0.0449
PL-RT-126,管路拆除,"8""",M,管材,管線材料,—,,0.0702
PL-RT-066,衛生下水道塑膠管,"10"" *13.0 m/m",M,管材,管線材料,明管,,0.276
PL-RT-067,衛生下水道塑膠管,"12"" *15.5 m/m",M,管材,管線材料,明管,,0.342
PL-RT-068,衛生下水道塑膠管,"14"" *18.0 m/m",M,管材,管線材料,明管,,0.413
PL-RT-069,衛生下水道塑膠管,"16"" *20.5 m/m",M,管材,管線材料,明管,,0.585
PL-RT-070,衛生下水道塑膠管,"18"" *22.9 m/m",M,管材,管線材料,明管,,0.595
PL-RT-061,衛生下水道塑膠管,"2"" * 4.0 m/m",M,管材,管線材料,明管,,0.043
PL-RT-071,衛生下水道塑膠管,"20"" *25.3 m/m",M,管材,管線材料,明管,,0.714
PL-RT-072,衛生下水道塑膠管,"24"" *30.7 m/m",M,管材,管線材料,明管,,0.928
PL-RT-062,衛生下水道塑膠管,"3"" * 5.5 m/m",M,管材,管線材料,明管,,0.068
PL-RT-063,衛生下水道塑膠管,"4"" * 7.0 m/m",M,管材,管線材料,明管,,0.076
PL-RT-064,衛生下水道塑膠管,"6"" * 8.5 m/m",M,管材,管線材料,明管,,0.115
PL-RT-065,衛生下水道塑膠管,"8"" *10.5 m/m",M,管材,管線材料,明管,,0.198
PL-RT-227,軟管,"PVC軟管 1 1/2""",M,管材,管線材料,明管,,0.039
PL-RT-226,軟管,"PVC軟管 1 1/4""",M,管材,管線材料,明管,,0.034
PL-RT-225,軟管,"PVC軟管 1""",M,管材,管線材料,明管,,0.03
PL-RT-223,軟管,"PVC軟管 1/2""",M,管材,管線材料,明管,,0.015
PL-RT-229,軟管,"PVC軟管 2 1/2""",M,管材,管線材料,明管,,0.053
PL-RT-228,軟管,"PVC軟管 2""",M,管材,管線材料,明管,,0.045
PL-RT-230,軟管,"PVC軟管 3""",M,管材,管線材料,明管,,0.061
PL-RT-224,軟管,"PVC軟管 3/4""",M,管材,管線材料,明管,,0.022
PL-RT-235,軟管,"不銹鋼軟管 1 1/2""",M,管材,管線材料,明管,,0.065
PL-RT-234,軟管,"不銹鋼軟管 1 1/4""",M,管材,管線材料,明管,,0.058
PL-RT-233,軟管,"不銹鋼軟管 1""",M,管材,管線材料,明管,,0.045
PL-RT-231,軟管,"不銹鋼軟管 1/2""",M,管材,管線材料,明管,,0.025
PL-RT-237,軟管,"不銹鋼軟管 2 1/2""",M,管材,管線材料,明管,,0.091
PL-RT-236,軟管,"不銹鋼軟管 2""",M,管材,管線材料,明管,,0.076
PL-RT-238,軟管,"不銹鋼軟管 3""",M,管材,管線材料,明管,,0.106
PL-RT-232,軟管,"不銹鋼軟管 3/4""",M,管材,管線材料,明管,,0.032
PL-RT-087,鍍鋅鋼管,"GIP P 1 1/2"" * 4.1 m/m",M,管材,管線材料,明管,,0.083
PL-RT-086,鍍鋅鋼管,"GIP P 1 1/4"" * 3.6 m/m",M,管材,管線材料,明管,,0.074
PL-RT-085,鍍鋅鋼管,"GIP P 1"" * 3.2 m/m",M,管材,管線材料,明管,,0.063
PL-RT-083,鍍鋅鋼管,"GIP P 1/2"" * 2.6 m/m",M,管材,管線材料,明管,,0.04
PL-RT-089,鍍鋅鋼管,"GIP P 2 1/2"" * 4.5 m/m",M,管材,管線材料,明管,,0.125
PL-RT-088,鍍鋅鋼管,"GIP P 2"" * 4.1 m/m",M,管材,管線材料,明管,,0.104
PL-RT-090,鍍鋅鋼管,"GIP P 3"" * 4.5 m/m",M,管材,管線材料,明管,,0.152
PL-RT-084,鍍鋅鋼管,"GIP P 3/4"" * 2.8 m/m",M,管材,管線材料,明管,,0.054
PL-RT-091,鍍鋅鋼管,"GIP P 4"" * 4.5 m/m",M,管材,管線材料,明管,,0.198
PL-RT-073,鑄鐵管,"CIP P 1 1/2""",M,管材,管線材料,明管,,0.095
PL-RT-080,鑄鐵管,"CIP P 10""",M,管材,管線材料,明管,,0.485
PL-RT-081,鑄鐵管,"CIP P 12""",M,管材,管線材料,明管,,0.556
PL-RT-082,鑄鐵管,"CIP P 14""",M,管材,管線材料,明管,,0.639
PL-RT-074,鑄鐵管,"CIP P 2""",M,管材,管線材料,明管,,0.112
PL-RT-075,鑄鐵管,"CIP P 3""",M,管材,管線材料,明管,,0.148
PL-RT-076,鑄鐵管,"CIP P 4""",M,管材,管線材料,明管,,0.157
PL-RT-077,鑄鐵管,"CIP P 5""",M,管材,管線材料,明管,,0.226
PL-RT-078,鑄鐵管,"CIP P 6""",M,管材,管線材料,明管,,0.295
PL-RT-079,鑄鐵管,"CIP P 8""",M,管材,管線材料,明管,,0.385
PL-RT-214,開泰管,"開泰管 1""",M,管材,管線材料,明管,,0.038
PL-RT-212,開泰管,"開泰管 1/2""",M,管材,管線材料,明管,,0.025
PL-RT-213,開泰管,"開泰管 3/4""",M,管材,管線材料,明管,,0.032
PL-RT-211,開泰管,"開泰管 3/8""",M,管材,管線材料,明管,,0.02
PL-RT-006,電氣用PVC電管,"PVC P 1 1/2""* 3.5 m/m",M,管材,管線材料,明管,,0.029
PL-RT-005,電氣用PVC電管,"PVC P 1 1/4""* 3.5 m/m",M,管材,管線材料,明管,,0.025
PL-RT-003,電氣用PVC電管,"PVC P 1""* 2.0 m/m",M,管材,管線材料,明管,,0.018
PL-RT-004,電氣用PVC電管,"PVC P 1""* 3.0 m/m",M,管材,管線材料,明管,,0.019
PL-RT-001,電氣用PVC電管,"PVC P 1/2""* 2.0 m/m",M,管材,管線材料,明管,,0.012
PL-RT-008,電氣用PVC電管,"PVC P 2 1/2""* 4.5 m/m",M,管材,管線材料,明管,,0.055
PL-RT-007,電氣用PVC電管,"PVC P 2""* 4.0 m/m",M,管材,管線材料,明管,,0.043
PL-RT-009,電氣用PVC電管,"PVC P 3""* 5.5 m/m",M,管材,管線材料,明管,,0.068
PL-RT-002,電氣用PVC電管,"PVC P 3/4""* 2.0 m/m",M,管材,管線材料,明管,,0.014
PL-RT-010,電氣用PVC電管,"PVC P 4""* 7.0 m/m",M,管材,管線材料,明管,,0.076
PL-RT-011,電氣用PVC電管,"PVC P 5""* 7.5 m/m",M,管材,管線材料,明管,,0.089
PL-RT-012,電氣用PVC電管,"PVC P 6""* 8.5 m/m",M,管材,管線材料,明管,,0.115
PL-RT-013,電氣用PVC電管,"PVC P 8""*11.0 m/m",M,管材,管線材料,明管,,0.165
PL-RT-017,電氣用PVC電管,"PVC 軟管 1""",M,管材,管線材料,明管,,0.03
PL-RT-015,電氣用PVC電管,"PVC 軟管 1/2""",M,管材,管線材料,明管,,0.015
PL-RT-016,電氣用PVC電管,"PVC 軟管 3/4""",M,管材,管線材料,明管,,0.022
PL-RT-022,電氣用PVC電管,"不銹鋼軟管 1 1/2""",M,管材,管線材料,明管,,0.065
PL-RT-021,電氣用PVC電管,"不銹鋼軟管 1 1/4""",M,管材,管線材料,明管,,0.058
PL-RT-020,電氣用PVC電管,"不銹鋼軟管 1""",M,管材,管線材料,明管,,0.045
PL-RT-018,電氣用PVC電管,"不銹鋼軟管 1/2""",M,管材,管線材料,明管,,0.025
PL-RT-024,電氣用PVC電管,"不銹鋼軟管 2 1/2""",M,管材,管線材料,明管,,0.091
PL-RT-023,電氣用PVC電管,"不銹鋼軟管 2""",M,管材,管線材料,明管,,0.076
PL-RT-025,電氣用PVC電管,"不銹鋼軟管 3""",M,管材,管線材料,明管,,0.106
PL-RT-019,電氣用PVC電管,"不銹鋼軟管 3/4""",M,管材,管線材料,明管,,0.032
PL-RT-014,電氣用PVC電管,"自由軟管 4"" (鋁管)",M,管材,管線材料,明管,,0.03
PL-RT-475,BUS WAY,銅 ３φ３Ｗ 1000A,M,電線,管線材料,—,,0.338
PL-RT-476,BUS WAY,銅 ３φ３Ｗ 1200A,M,電線,管線材料,—,,0.365
PL-RT-477,BUS WAY,銅 ３φ３Ｗ 1350A,M,電線,管線材料,—,,0.396
PL-RT-478,BUS WAY,銅 ３φ３Ｗ 1500A,M,電線,管線材料,—,,0.425
PL-RT-479,BUS WAY,銅 ３φ３Ｗ 1600A,M,電線,管線材料,—,,0.484
PL-RT-480,BUS WAY,銅 ３φ３Ｗ 2000A,M,電線,管線材料,—,,0.543
PL-RT-481,BUS WAY,銅 ３φ３Ｗ 2500A,M,電線,管線材料,—,,0.746
PL-RT-482,BUS WAY,銅 ３φ３Ｗ 3000A,M,電線,管線材料,—,,0.872
PL-RT-483,BUS WAY,銅 ３φ３Ｗ 3500A,M,電線,管線材料,—,,1.006
PL-RT-484,BUS WAY,銅 ３φ３Ｗ 4000A,M,電線,管線材料,—,,1.115
PL-RT-485,BUS WAY,銅 ３φ３Ｗ 5000A,M,電線,管線材料,—,,1.28
PL-RT-486,BUS WAY,銅 ３φ３Ｗ 6000A,M,電線,管線材料,—,,1.475
PL-RT-473,BUS WAY,銅 ３φ３Ｗ 600A,M,電線,管線材料,—,,0.254
PL-RT-474,BUS WAY,銅 ３φ３Ｗ 800A,M,電線,管線材料,—,,0.299
PL-RT-489,BUS WAY,銅 ３φ４Ｗ 1000A,M,電線,管線材料,—,,0.372
PL-RT-490,BUS WAY,銅 ３φ４Ｗ 1200A,M,電線,管線材料,—,,0.375
PL-RT-491,BUS WAY,銅 ３φ４Ｗ 1350A,M,電線,管線材料,—,,0.402
PL-RT-492,BUS WAY,銅 ３φ４Ｗ 1500A,M,電線,管線材料,—,,0.467
PL-RT-493,BUS WAY,銅 ３φ４Ｗ 1600A,M,電線,管線材料,—,,0.532
PL-RT-494,BUS WAY,銅 ３φ４Ｗ 2000A,M,電線,管線材料,—,,0.597
PL-RT-495,BUS WAY,銅 ３φ４Ｗ 2500A,M,電線,管線材料,—,,0.931
PL-RT-496,BUS WAY,銅 ３φ４Ｗ 3000A,M,電線,管線材料,—,,0.959
PL-RT-497,BUS WAY,銅 ３φ４Ｗ 3500A,M,電線,管線材料,—,,1.106
PL-RT-498,BUS WAY,銅 ３φ４Ｗ 4000A,M,電線,管線材料,—,,1.227
PL-RT-499,BUS WAY,銅 ３φ４Ｗ 5000A,M,電線,管線材料,—,,1.411
PL-RT-500,BUS WAY,銅 ３φ４Ｗ 6000A,M,電線,管線材料,—,,1.695
